City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Seddon,AU,-37.81,144.89,63.0,62,75,11.41,broken clouds
83,Port Elizabeth,ZA,-33.92,25.57,60.8,77,4,20.8,clear sky
84,Casablanca,MA,33.59,-7.62,73.0,100,0,3.36,clear sky
85,Waddan,LY,29.16,16.14,73.09,73,0,8.03,clear sky
86,Eureka,US,40.8,-124.16,64.4,63,1,9.17,clear sky
87,Port Hardy,CA,50.7,-127.42,64.4,82,40,2.24,fog
88,Umarkhed,IN,19.6,77.7,81.36,80,77,4.9,broken clouds
89,Iquique,CL,-20.22,-70.14,60.8,63,90,3.36,overcast clouds
90,Tarko-Sale,RU,64.92,77.78,41.0,83,19,24.47,few clouds
91,Adjumani,UG,3.38,31.79,64.29,96,22,0.94,few clouds
92,Laramie,US,41.31,-105.59,73.4,18,1,5.82,clear sky
93,Ketchikan,US,55.34,-131.65,55.4,100,90,8.05,light rain
94,Shar,KZ,49.59,81.05,50.72,50,38,5.59,scattered clouds
95,Fortuna,US,40.6,-124.16,64.0,67,1,6.93,clear sky
96,Talnakh,RU,69.49,88.4,41.0,80,20,11.18,few clouds
97,Upernavik,GL,72.79,-56.15,33.31,83,0,9.62,clear sky
98,Yar-Sale,RU,66.83,70.83,44.42,74,17,12.46,few clouds
99,Grand Gaube,MU,-20.01,57.66,66.0,74,1,3.0,clear sky
100,Maldonado,UY,-34.67,-54.92,48.0,100,93,2.24,mist
101,San Isidro,PE,-12.12,-77.05,59.0,82,3,8.05,clear sky
102,Chipinge,ZW,-20.19,32.62,50.94,98,41,4.74,scattered clouds
103,Caravelas,BR,-17.71,-39.25,70.03,91,34,3.87,scattered clouds
104,Chokurdakh,RU,70.63,147.92,47.7,53,0,17.27,clear sky
105,Tahe,CN,52.33,124.73,54.21,96,100,8.41,moderate rain
106,Celestun,MX,20.87,-90.4,81.32,81,65,11.63,broken clouds
107,Ribeira Grande,PT,38.52,-28.7,70.27,76,10,22.28,clear sky
108,Wajima,JP,37.4,136.9,82.4,74,75,10.29,broken clouds
109,Meulaboh,ID,4.14,96.13,84.52,67,100,7.23,overcast clouds
110,Santa Ana,US,33.75,-117.87,81.0,61,1,3.36,clear sky
111,Novobureyskiy,RU,49.8,129.88,69.3,67,93,22.59,overcast clouds
112,Rocha,UY,-34.48,-54.33,43.54,85,100,1.39,overcast clouds
113,Hirara,JP,24.8,125.28,86.0,79,75,14.99,broken clouds
114,Boston,US,42.36,-71.06,71.6,43,1,11.41,clear sky
115,Kungurtug,RU,50.6,97.52,64.96,53,2,0.36,clear sky
116,Hithadhoo,MV,-0.6,73.08,82.17,77,1,16.71,clear sky
117,San Antonio,US,29.42,-98.49,78.8,94,1,8.05,clear sky
118,Kandalaksha,RU,67.16,32.41,55.0,93,87,7.34,overcast clouds
119,Porto Novo,BJ,6.5,2.6,77.0,94,20,12.75,few clouds
120,Itarema,BR,-2.92,-39.92,77.94,79,0,18.16,clear sky
121,Nikolskoye,RU,59.7,30.79,57.0,87,40,4.47,scattered clouds
122,Nago,JP,26.59,127.98,82.4,74,40,19.46,scattered clouds
123,East London,ZA,-33.02,27.91,63.88,76,4,17.78,clear sky
124,Vardo,NO,70.37,31.11,52.95,90,31,16.42,scattered clouds
125,Luderitz,NA,-26.65,15.16,56.75,70,74,8.79,broken clouds
126,Boca Do Acre,BR,-8.75,-67.4,79.41,58,26,1.05,scattered clouds
127,Hammerfest,NO,70.66,23.68,51.8,93,100,6.93,overcast clouds
128,Hofn,IS,64.25,-15.21,43.16,62,8,13.91,clear sky
129,Brae,GB,60.4,-1.35,51.8,81,25,21.92,scattered clouds
130,Severo-Kurilsk,RU,50.68,156.12,55.0,71,74,2.64,broken clouds
131,Tiznit,MA,29.58,-9.5,76.37,53,0,1.59,clear sky
132,Kahului,US,20.89,-156.47,89.6,46,40,19.46,scattered clouds
133,Saint-Georges,GD,12.06,-61.75,84.2,79,20,14.99,few clouds
134,Presidente Medici,BR,-11.18,-61.9,80.8,36,20,2.46,few clouds
135,Cidreira,BR,-30.18,-50.21,55.81,85,0,9.57,clear sky
136,Laguna,US,38.42,-121.42,91.4,31,1,5.82,clear sky
137,Kupang,ID,-10.17,123.58,89.6,40,21,10.29,few clouds
138,Adrar,MR,20.5,-10.07,91.42,35,44,6.82,scattered clouds
139,Voineasa,RO,44.28,24.13,60.01,87,0,5.82,light rain
140,Wahiawa,US,21.5,-158.02,84.0,57,90,8.05,overcast clouds
141,San Patricio,MX,19.22,-104.7,81.32,91,82,5.46,broken clouds
